DNA Sequence,avg_reward,highest reward in an episode,the whole 10 episodes reward,what kind of mutaion 
"['C', 50, 'T', 'C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",298.1,500,"[140.0, 186.0, 215.0, 230.0, 500.0, 307.0, 500.0, 500.0, 58.0, 345.0]",add a classical layer
"['C', 37, 'R', 'C', 2, 'T', 'C', 34, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",297.4,500,"[249.0, 500.0, 500.0, 170.0, 221.0, 437.0, 293.0, 214.0, 213.0, 177.0]",add a classical layer
"['C', 62, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",297.4,500,"[252.0, 336.0, 247.0, 500.0, 218.0, 500.0, 247.0, 132.0, 202.0, 340.0]",remove a classical layer
"['C', 37, 'R', 'C', 6, 'T', 'C', 12, 'T', 'C', 5, 'T', 'C', 1]",296.9,500,"[290.0, 412.0, 316.0, 358.0, 214.0, 159.0, 148.0, 500.0, 155.0, 417.0]",add a classical layer
"['C', 50, 'T', 'C', 13, 'T', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",296.9,500,"[243.0, 271.0, 395.0, 358.0, 187.0, 500.0, 261.0, 379.0, 36.0, 339.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 10, 'T', 'C', 55, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",296.5,474,"[168.0, 73.0, 454.0, 170.0, 474.0, 239.0, 355.0, 369.0, 211.0, 452.0]",alter a layer: add
"['C', 57, 'T', 'C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",296.2,486,"[270.0, 242.0, 245.0, 333.0, 231.0, 486.0, 330.0, 302.0, 255.0, 268.0]",add a classical layer
"['C', 37, 'R', 'C', 33, 'T', 'C', 5, 'T', 'C', 1]",294.8,487,"[302.0, 211.0, 151.0, 317.0, 301.0, 487.0, 399.0, 301.0, 160.0, 319.0]",alter a layer: add
"['C', 63, 'T', 'C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",291.9,402,"[266.0, 216.0, 288.0, 192.0, 355.0, 258.0, 271.0, 402.0, 386.0, 285.0]",add a classical layer
"['C', 10, 'T', 'C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",291.6,500,"[280.0, 229.0, 500.0, 443.0, 390.0, 202.0, 281.0, 274.0, 110.0, 207.0]",add a classical layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'T', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",291.3,500,"[272.0, 183.0, 500.0, 270.0, 500.0, 500.0, 299.0, 102.0, 121.0, 166.0]",change the activation fucntion of a layer
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",290.5,500,"[214.0, 276.0, 500.0, 283.0, 302.0, 359.0, 218.0, 308.0, 173.0, 272.0]",change the activation fucntion of a layer
